Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,9/5/23 9:31,FALSE,Yolo County Running,3.01,239,0:26:11,149,176,2.8,174,189,8:42,7:49,11,5,1.06,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.2,4,0,0:26:03,0:39:56,16,23
Workout,9/5/23 9:03,FALSE,Yolo County Running,3,217,0:18:50,178,190,3.5,181,190,6:16,5:24,--,6,1.42,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.1,4,0,0:18:45,0:18:50,16,26
Running,9/5/23 8:33,FALSE,Yolo County Running,2,153,0:15:30,151,164,2.6,174,184,7:46,7:26,21,14,1.19,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,07:42.4,2,0,0:15:26,0:15:39,8,27
Running,9/3/23 6:58,FALSE,San Luis Obispo County Running,6.07,498,0:53:24,152,179,3.5,174,190,8:47,6:12,444,426,1.05,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:40.2,7,0,0:52:49,0:57:13,"1,305","1,526"
Long Run,9/2/23 8:47,FALSE,San Luis Obispo County Running,11.09,823,1:27:28,150,182,4.1,175,186,7:53,6:42,308,449,1.16,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:38.7,12,0,1:27:15,1:36:19,"1,152","1,524"
Workout,9/1/23 9:11,FALSE,San Luis Obispo County Running,6.26,484,0:47:01,163,185,4,173,202,7:30,5:29,250,280,1.23,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:57.5,14,0,0:46:49,0:53:00,303,385
Running,9/1/23 8:27,FALSE,San Luis Obispo County Running,1.87,149,0:15:52,138,168,2.3,169,182,8:30,7:05,54,55,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,07:16.8,2,0,0:15:44,0:39:03,310,351
Running,8/31/23 15:31,FALSE,San Luis Obispo County Running,5.41,403,0:41:35,154,168,3.4,172,186,7:41,6:13,88,85,1.22,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,03:21.5,6,0,0:41:31,0:45:04,310,347
Cycling,8/30/23 8:40,FALSE,Yolo County Cycling,1.22,310,1:10:18,111,139,1.2,--,--,1,12.8,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,10:17.6,1,0,0:36:18,1:12:34,52,75
Running,8/29/23 9:20,FALSE,Davis Running,1.12,89,0:13:18,133,149,0.9,168,179,11:53,7:17,--,--,0.81,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:24.8,2,0,0:13:06,0:13:18,39,46
Workout,8/29/23 8:28,FALSE,Davis Running,5.1,389,0:38:26,166,189,3.7,156,239,7:32,5:08,3,3,1.33,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.7,14,0,0:35:09,0:38:27,39,46
Running,8/29/23 7:54,FALSE,Davis Running,2,156,0:16:35,146,160,2.5,174,186,8:17,7:21,--,1,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.2,3,0,0:16:26,0:16:47,39,46
Long Run,8/27/23 8:04,FALSE,Yolo County Running,10.04,758,1:18:06,161,184,4.4,179,188,7:47,6:13,13,13,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:06.8,12,0,1:17:54,1:23:42,13,26
Running,8/26/23 9:22,FALSE,Yolo County Running,4.03,301,0:32:30,148,166,3,178,188,8:04,7:33,7,7,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:15.3,5,0,0:32:10,0:37:14,49,111
Running,8/25/23 9:14,FALSE,Davis Running,1.51,119,0:15:21,132,147,1.8,178,190,10:10,8:38,--,--,0.89,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,04:56.6,2,0,0:15:17,0:15:48,39,46
Workout,8/25/23 8:32,FALSE,Davis Running,4.06,284,0:35:18,148,185,3.1,130,194,8:41,5:11,3,6,1.36,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:17.4,15,0,0:30:14,0:37:54,39,46
Running,8/25/23 7:58,FALSE,Davis Running,1.51,117,0:12:33,140,152,2.2,180,188,8:20,7:49,--,--,1.07,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,04:08.2,2,0,0:12:32,0:12:33,39,46
Running,8/24/23 11:01,FALSE,Marin County Running,5.01,370,0:39:08,149,165,3.1,179,216,7:49,6:57,202,203,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.4,6,0,0:38:57,0:43:06,19,149
Elliptical,8/23/23 16:58,FALSE,Elliptical,0,118,0:20:02,120,134,0.8,117,155,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,20:02.5,1,0,0:00:00,0:20:02,--,--
